,gender,created,fav_number,tweet_count,descLen,des_hashtag_count,has_mentioned_other_bio,nameLen,uses_default_link_color,tweet_length,num_tagged,tweet_hashtags,tweet_has_link
4948,1,0.004132031501615355,0.0001356791850802562,4.59831809129862e-06,0.0,0,0,0.010788969017118252,0,0.003731530403165203,0,1,0
9875,1,0.006886719169358925,0.003729009200904393,0.0004158029134056777,0.014089673430536687,0,1,0.005394484508559126,1,0.004664413003956504,2,0,0
1874,0,0.004132031501615355,0.0009020497419034385,6.161746242340151e-05,0.0,0,0,0.008477047084878626,1,0.006996619505934755,3,0,0
1067,1,0.012396094504846064,7.000798134278059e-05,0.001136704232169019,0.009980185346630152,0,1,0.010788969017118252,1,0.007929502106726057,0,0,1
1115,0,0.006886719169358925,0.0006102465630322025,0.0004261491291110996,0.016437952335626133,1,0,0.007706406440798752,0,0.007463060806330406,2,0,1
10840,1,0.012396094504846064,0.0013493573749077535,0.00016668903080957497,0.014089673430536687,0,1,0.011559609661198128,0,0.006530178205539105,2,0,0
9382,0,0.011018750670974279,0.013361611801944683,0.0044995692102879825,0.0029353486313618096,0,1,0.006935765796718877,1,0.01166103250989126,0,0,0
7029,1,0.012396094504846064,0.0034124244357171284,0.00041867686221273934,0.01819916151444322,3,0,0.010018328373038378,0,0.01259391511068256,1,0,0
2571,1,0.009641406837102495,1.6108031105418543e-05,8.840266530521597e-05,0.007044836715268343,0,0,0.008477047084878626,1,0.011194591209495609,0,1,0
11611,0,0.011018750670974279,0.0041515352475926795,0.0011355546526461942,0.011154324799174877,0,1,0.005394484508559126,0,0.01352679771147386,1,0,0
4523,1,0.00826406300323071,0.004797095571125223,0.0001596765957203446,0.004109488083906533,0,1,0.007706406440798752,1,0.006063736905143454,2,1,0
10363,1,0.004132031501615355,1.3629872473815692e-05,0.00023646850784503153,0.010567255072902515,0,1,0.006935765796718877,1,0.01352679771147386,0,0,0
5078,1,0.012396094504846064,0.0009689600249567156,0.0011425670877354245,0.014089673430536687,0,1,0.006935765796718877,0,0.005597295604747804,0,0,0
11026,1,0.009641406837102495,0.0063465642555349065,0.0025620678825193084,0.012915533977991963,0,1,0.009247687728958502,1,0.009795267308308658,1,0,0
11985,1,0.004132031501615355,0.00046403520376763423,0.00016013642752947443,0.0123284642517196,0,0,0.008477047084878626,1,0.010261708608704307,1,0,0
9026,0,0.004132031501615355,0.006272839036244721,0.000594677487157194,0.01761209178817086,0,0,0.006935765796718877,1,0.008862384707517356,0,0,0
1478,1,0.00826406300323071,1.2390793158014265e-06,3.678654473038896e-06,0.0,0,0,0.006165125152639002,1,0.004664413003956504,1,0,1
8931,0,0.009641406837102495,0.0009057669798508427,0.0012170598408144623,0.004696557810178896,0,1,0.008477047084878626,0,0.01259391511068256,0,0,0
10444,0,0.01377343833871785,0.000164178009343689,0.028803519650037707,0.017025022061898498,0,0,0.011559609661198128,1,0.007463060806330406,0,0,0
10218,0,0.009641406837102495,6.195396579007133e-07,0.011567528990470808,0.009393115620357792,2,0,0.011559609661198128,0,0.010728149909099958,0,1,1
7664,1,0.005509375335487139,0.0001362987247381569,0.004839729791091797,0.0035224183576341717,1,0,0.010018328373038378,1,0.005597295604747804,0,0,0
2836,1,0.005509375335487139,0.0053075962492354105,0.0078088637826433166,0.004696557810178896,0,0,0.009247687728958502,0,0.0032650891027695525,0,0,0
9033,0,0.005509375335487139,0.003317015328400419,0.0009574847845606551,0.0,0,0,0.011559609661198128,1,0.002798647802373902,2,0,0
8130,0,0.012396094504846064,0.01064926717965536,0.0028729141854910954,0.011154324799174877,0,1,0.011559609661198128,0,0.011194591209495609,1,0,0
7574,0,0.004132031501615355,0.0005278477885314077,4.828233995863551e-05,0.010567255072902515,0,0,0.009247687728958502,0,0.01399323901186951,0,0,1
2486,1,0.00826406300323071,0.02719717144218341,0.0003789014107230063,0.009393115620357792,1,0,0.010018328373038378,0,0.007929502106726057,2,2,1
4706,0,0.009641406837102495,0.0034031313408486178,0.0003313088184780656,0.0035224183576341717,0,0,0.010788969017118252,0,0.008862384707517356,0,0,0
2412,1,0.006886719169358925,0.0021082934558361273,0.0022669708190102195,0.001174139452544724,0,0,0.009247687728958502,0,0.004664413003956504,0,0,0
4002,1,0.009641406837102495,0.02095964616643903,0.0038132702351616633,0.011154324799174877,0,0,0.006165125152639002,0,0.002798647802373902,0,0,0
2740,0,0.012396094504846064,0.0015389365102253718,0.0012509724367377895,0.011154324799174877,0,1,0.009247687728958502,0,0.0051308543043521535,0,2,1
7918,0,0.011018750670974279,0.009329647708326842,0.0023908954915707174,0.0017612091788170858,0,0,0.010018328373038378,1,0.002798647802373902,0,0,0
